Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Main study,Chrome 78.0.3904.97,The main study contains all combinations and exceptions. It can be used as a sandbox for every aspect of LibreClinica.,,2019-11-20 20:15:58,2019-11-20 20:16:59,"1m - 0,698s",PASSED
,,,,,,,
Test Cases/techadmin_login,Chrome 78.0.3904.97,,,2019-11-20 20:15:59,2019-11-20 20:16:11,"11,841s",PASSED
"use(groovy.time.TimeCategory, { -> ... })",Chrome 78.0.3904.97,,,2019-11-20 20:16:00,2019-11-20 20:16:00,"0,399s",PASSED
"openBrowser("""")",Chrome 78.0.3904.97,,,2019-11-20 20:16:00,2019-11-20 20:16:08,"7,726s",PASSED
"login_url = lc_url + ""/pages/login/login""",Chrome 78.0.3904.97,,,2019-11-20 20:16:08,2019-11-20 20:16:08,"0,001s",PASSED
navigateToUrl(login_url),Chrome 78.0.3904.97,,,2019-11-20 20:16:08,2019-11-20 20:16:09,"0,713s",PASSED
"setText(findTestObject(""Object Repository/input_User Name_j_username""), tech_admin)",Chrome 78.0.3904.97,,,2019-11-20 20:16:09,2019-11-20 20:16:09,"0,720s",PASSED
"setEncryptedText(findTestObject(""input_Password_j_password""), tech_admin_pw)",Chrome 78.0.3904.97,,,2019-11-20 20:16:09,2019-11-20 20:16:10,"0,624s",PASSED
"sendKeys(findTestObject(""Object Repository/input_Password_j_password""), Keys.chord(ENTER))",Chrome 78.0.3904.97,,,2019-11-20 20:16:10,2019-11-20 20:16:11,"0,936s",PASSED
,,,,,,,
Test Cases/Study details,Chrome 78.0.3904.97,Provides all details for the main study,,2019-11-20 20:16:11,2019-11-20 20:16:59,"48,350s",PASSED
"click(findTestObject(""Object Repository/Page_OpenClinica/a_Tasks""))",Chrome 78.0.3904.97,,,2019-11-20 20:16:11,2019-11-20 20:16:12,"0,542s",PASSED
"click(findTestObject(""Object Repository/Page_OpenClinica/a_Studies""))",Chrome 78.0.3904.97,,,2019-11-20 20:16:12,2019-11-20 20:16:13,"0,958s",PASSED
"click(findTestObject(""Object Repository/Page_OpenClinica/a_Create a New Study""))",Chrome 78.0.3904.97,,,2019-11-20 20:16:13,2019-11-20 20:16:14,"1,064s",PASSED
"setText(findTestObject(""Object Repository/Page_OpenClinica/input_Unique Protocol ID_uniqueProId""), ""LCTEST"")",Chrome 78.0.3904.97,,,2019-11-20 20:16:14,2019-11-20 20:16:15,"0,665s",PASSED
"setText(findTestObject(""Object Repository/Page_OpenClinica/input_Brief Title_name""), ""LibreClinica Test Study"")",Chrome 78.0.3904.97,,,2019-11-20 20:16:15,2019-11-20 20:16:15,"0,672s",PASSED
"setText(findTestObject(""Object Repository/Page_OpenClinica/input_Official Title_officialTitle""), ""LC Official Title"")",Chrome 78.0.3904.97,,,2019-11-20 20:16:15,2019-11-20 20:16:16,"0,619s",PASSED
"setText(findTestObject(""Object Repository/Page_OpenClinica/textarea_Secondary IDs_secondProId""), ""LC Secondary IDs"")",Chrome 78.0.3904.97,,,2019-11-20 20:16:16,2019-11-20 20:16:17,"0,538s",PASSED
"setText(findTestObject(""Object Repository/Page_OpenClinica/input_Principal Investigator_prinInvestigator""), ""LC Principal Investigator"")",Chrome 78.0.3904.97,,,2019-11-20 20:16:17,2019-11-20 20:16:17,"0,695s",PASSED
"setText(findTestObject(""Object Repository/Page_OpenClinica/textarea_Brief Summary_description""), ""LC Brief Summary"")",Chrome 78.0.3904.97,,,2019-11-20 20:16:17,2019-11-20 20:16:18,"0,522s",PASSED
