Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Main study,Chrome 78.0.3904.97,The main study contains all combinations and exceptions. It can be used as a sandbox for every aspect of LibreClinica.,,2019-11-20 20:26:24,2019-11-20 20:27:16,"52,246s",PASSED
,,,,,,,
Test Cases/techadmin_login,Chrome 78.0.3904.97,,,2019-11-20 20:26:24,2019-11-20 20:26:37,"12,805s",PASSED
"use(groovy.time.TimeCategory, { -> ... })",Chrome 78.0.3904.97,,,2019-11-20 20:26:25,2019-11-20 20:26:25,"0,390s",PASSED
"openBrowser("""")",Chrome 78.0.3904.97,,,2019-11-20 20:26:25,2019-11-20 20:26:33,"7,829s",PASSED
"login_url = lc_url + ""/pages/login/login""",Chrome 78.0.3904.97,,,2019-11-20 20:26:33,2019-11-20 20:26:33,"0,000s",PASSED
navigateToUrl(login_url),Chrome 78.0.3904.97,,,2019-11-20 20:26:33,2019-11-20 20:26:35,"1,814s",PASSED
"setText(findTestObject(""Object Repository/input_User Name_j_username""), tech_admin)",Chrome 78.0.3904.97,,,2019-11-20 20:26:35,2019-11-20 20:26:36,"0,641s",PASSED
"setEncryptedText(findTestObject(""input_Password_j_password""), tech_admin_pw)",Chrome 78.0.3904.97,,,2019-11-20 20:26:36,2019-11-20 20:26:36,"0,559s",PASSED
"sendKeys(findTestObject(""Object Repository/input_Password_j_password""), Keys.chord(ENTER))",Chrome 78.0.3904.97,,,2019-11-20 20:26:36,2019-11-20 20:26:37,"0,935s",PASSED
,,,,,,,
Test Cases/Study details,Chrome 78.0.3904.97,Provides all details for the main study,,2019-11-20 20:26:37,2019-11-20 20:27:16,"38,941s",PASSED
"click(findTestObject(""Object Repository/Page_OpenClinica/a_Tasks""))",Chrome 78.0.3904.97,,,2019-11-20 20:26:38,2019-11-20 20:26:38,"0,465s",PASSED
"click(findTestObject(""Object Repository/Page_OpenClinica/a_Studies""))",Chrome 78.0.3904.97,,,2019-11-20 20:26:38,2019-11-20 20:26:39,"0,962s",PASSED
"click(findTestObject(""Object Repository/Page_OpenClinica/a_Create a New Study""))",Chrome 78.0.3904.97,,,2019-11-20 20:26:39,2019-11-20 20:26:40,"1,086s",PASSED
"setText(findTestObject(""Object Repository/Page_OpenClinica/input_Unique Protocol ID_uniqueProId""), ""LCTEST"")",Chrome 78.0.3904.97,,,2019-11-20 20:26:40,2019-11-20 20:26:41,"0,569s",PASSED
"setText(findTestObject(""Object Repository/Page_OpenClinica/input_Brief Title_name""), ""LibreClinica Test Study"")",Chrome 78.0.3904.97,,,2019-11-20 20:26:41,2019-11-20 20:26:41,"0,604s",PASSED
"setText(findTestObject(""Object Repository/Page_OpenClinica/input_Official Title_officialTitle""), ""LC Official Title"")",Chrome 78.0.3904.97,,,2019-11-20 20:26:41,2019-11-20 20:26:42,"0,537s",PASSED
"setText(findTestObject(""Object Repository/Page_OpenClinica/textarea_Secondary IDs_secondProId""), ""LC Secondary IDs"")",Chrome 78.0.3904.97,,,2019-11-20 20:26:42,2019-11-20 20:26:42,"0,511s",PASSED
